probe    EcoCyc CommonName	EcoCyc accession	EcoCyc ID
1767485_at	ybhK	b0780	G6402
1767364_at	ymfP	b1152	G6596
1768835_at	csrC	b4457	G0-8874
1763517_s_at	gor	b3500	EG10412
1764164_s_at	csgE	b1039	G6545
1766335_s_at	ybbJ	b0488	G6264
1759387_s_at	rfaF	b3620	EG12210
1764483_s_at	spy	b1743	G6939
1761790_s_at	gmhB	b0200	EG11736
1763110_s_at	yibL	b3602	EG11964
1765240_s_at	yqeJ	b2848	G7468
1759224_s_at	wcaE	b2055	G7100
1766461_s_at	sapB	b1293	G2001
1765974_s_at	yibQ	b3614	EG12298
1762651_s_at	adk	b0474	EG10032
1768360_at	yfcV	b2339	G7210
1763845_s_at	yciT	b1284	G6638
1759637_at	priA	b3935	EG10763
1764927_s_at	xerC	b3811	EG11069
1767649_at	ymgC	b1167	G6607
1764105_s_at	yicC	b3644	EG11192
1760020_s_at	ebgR	b3075	EG10254
1764557_s_at	umuD	b1183	EG11057
1765192_s_at	mqo	b2210	EG12069
1765671_at	rhsD	b0497	EG10849
1766883_s_at	rutB	b1011	G6522
1764422_s_at	ybhM	b0787	G6404
1766701_s_at	aer	b3072	G7595
1767756_s_at	cpxR	b3912	EG10020
1760241_s_at	rpsF	b4200	EG10905
1768849_s_at	yddA	b1496	EG11742
1764678_at	glmZ	b4456	G0-8873
1765002_s_at	yjfP	b4190	G7853
1759867_s_at	yjaG	b3999	EG11916
1763551_s_at	zwf	b1852	EG11221
1765855_s_at	proB	b0242	EG10768
1768181_s_at	yhaJ	b3105	G7619
1759248_at	hsdR	b4350	EG10459
1767872_s_at	argH	b3960	EG11223
1767680_at	gcvB	b4443	G0-8867
1765138_s_at	speA	b2938	EG10959
1767550_s_at	ppdA	b2826	EG12081
1767399_s_at	cyoC	b0430	EG10180
1764810_s_at	yihL	b3872	EG11838
1760255_s_at	yciW	b1287	G6640
1764080_s_at	nrdH	b2673	G7401
1767247_at	ydfE	b1577	EG11304
1765954_s_at	insH-1	b0259	G6134
1763303_at	cas2	b2754	EG12845
1764585_at	ychS	b1228	G6631
1759555_at	glf	b2036	EG11981
1763543_s_at	marR	b1530	EG11435
1763435_s_at	yggD	b2929	EG11162
1767377_s_at	rplS	b2606	EG10880
1760650_at	yfjP	b2632	G7367
1760305_s_at	flhC	b1891	EG10319
1767898_s_at	dgoK	b3693	EG20051
1762394_s_at	arnF	b2258	G7171
1759260_s_at	ydeE	b1534	EG11640
1763366_x_at	yeeT	b2003	G7083
1764717_s_at	ydjI	b1773	G6960
1762846_s_at	rplA	b3984	EG10864
1759212_s_at	yajD	b0410	EG11097
1761071_s_at	yhjE	b3523	EG12249
1759878_s_at	agaW	b3134	G7633
1766880_s_at	ycgM	b1180	G6617
1761664_s_at	aceE	b0114	EG10024
1761574_s_at	murI	b3967	EG11204
1763326_s_at	ygbN	b2740	G7421
1767921_s_at	yacF	b0102	EG12313
1764471_s_at	pagP	b0622	EG12180
1768949_s_at	ybhA	b0766	EG11239
1762265_s_at	rlmB	b4180	G7845
1763832_at	actP	b4067	EG11942
1762603_s_at	tpx	b1324	G6660
1766400_s_at	rplF	b3305	EG10869
1769206_at	rnlA	b2630	G7365
1762430_at	mngB	b0732	EG13236
1760256_s_at	yicG	b3646	EG11683
1765341_s_at	yqjC	b3097	G7611
1762792_s_at	miaB	b0661	G6364
1759633_at	yehQ	b2122	EG12003
1759276_s_at	ygeN		G7478
1759193_s_at	kefG	b3351	G7717
1763438_s_at	ygjD	b3064	EG11171
1759266_at	yagH	b0271	G6143
1768287_s_at	gspF	b3327	G7705
1767252_s_at	sfsB	b3188	EG10656
1766804_s_at	glpK	b3926	EG10398
1769163_s_at	fimB	b4312	EG10309
1764731_s_at	ypfJ	b2475	G7298
1759656_s_at	rfaH	b3842	EG10839
1761946_at	rttR	b4425	G0-9609
1760711_s_at	galF	b2042	G7093
1762300_s_at	rcsF	b0196	EG11502
1767819_s_at	accB	b3255	EG10275
1768743_s_at	aaeB	b3240	G7685
1768003_s_at	yedW	b1969	G7057
1760252_s_at	yrfF	b3398	G7741
1767212_s_at	ybjO	b0858	G6448
1763796_s_at	rlmD	b2785	EG11247
1768433_at	essD	b0554	G6309
1767509_s_at	hemE	b3997	EG11543
1765380_s_at	gpsA	b3608	EG20091
1763783_s_at	lexA	b4043	EG10533
1767789_at	paaC	b1390	G6711
1764140_s_at	can	b0126	EG12319
1760803_s_at	galT	b0758	EG10366
1763429_s_at	caiA	b0039	EG11560
1767254_s_at	adiA	b4117	EG11501
1765169_s_at	eutP	b2461	G7291
1767158_s_at	nsrR	b4178	EG11212
1768547_s_at	rsmC	b4371	G7950
1769102_s_at	flhE	b1878	G7027
1761978_at	yhcF	b3219	G7673
1768419_s_at	ygdG	b2798	EG12372
1761872_s_at	rplL	b3986	EG10873
1760871_s_at	kduI	b2843	G7463
1761349_at	wbbK	b2032	EG11985
1761682_s_at	cpxP	b4484	G7816
1766832_s_at	cutA	b4137	EG12177
1767701_s_at	asr	b1597	G6855
1761492_s_at	ihfA	b1712	EG10440
1767323_s_at	yijO	b3954	EG11913
1765489_s_at	xseA	b2509	EG11072
1764665_s_at	srlB	b2704	EG10970
1766918_s_at	yniB	b1726	G6931
1769154_at	yeeP	b1999	G7079
1762436_s_at	yahG	b0321	G6186
1768262_s_at	lafU		G6114
1769258_s_at	ubiE	b3833	EG11473
1762100_s_at	hofN	b3394	G7738
1764391_s_at	rzpD	b0556	G6311
1762962_s_at	yjiA	b4352	EG10021
1764239_s_at	ispH	b0029	EG11081
1760218_s_at	glrK	b2556	G7345
1765071_s_at	fur	b0683	EG10359
1766480_s_at	yfdY	b2377	G7240
1762136_at	betA	b0311	EG10109
1764733_s_at	hicB	b1438	G6749
1761868_s_at	arnC	b2254	G7167
1766462_s_at	moaC	b0783	EG11666
1761422_s_at	hslR	b3400	G7743
1761891_at	fadE	b0221	G6105
1764677_s_at	fimG	b4319	EG10314
1766425_s_at	priB	b4201	EG10764
1759265_s_at	ybeM	b0626	G6348
1759438_s_at	nuoA	b2288	EG12082
1764686_s_at	rluD	b2594	EG12098
1762777_s_at	proW	b2678	EG10772
1766138_s_at	dinJ	b0226	G6110
1767666_s_at	rlmN	b2517	EG12401
1761707_s_at	mnmG	b3741	EG10375
1762518_s_at	rtcA	b4475	G7750
1762923_s_at	yegX	b2102	G7134
1765550_s_at	dsbB	b1185	EG11393
1759471_s_at	yijP	b3955	EG11914
1765918_s_at	atoE	b2223	EG11671
1762164_s_at	menE	b2260	EG12437
1765087_s_at	ybdG	b0577	G6323
1767226_s_at	thiS	b4407	G1
1763579_s_at	ygfX	b2896	G7509
1763848_s_at	ddpD	b1484	G6778
1766336_s_at	leuD	b0071	EG11575
1762856_s_at	ydhU	b1670	G6898
1764901_s_at	crr	b2417	EG10165
1766995_s_at	narP	b2193	EG11527
1766955_s_at	argE	b3957	EG11286
1765984_s_at	truC	b2791	G7449
1769231_at	rfaL	b3622	EG11424
1762278_at	rybA	b4416	G0-8881
1765416_s_at	ldhA	b1380	G592
1759235_at	flgF	b1077	G362
1762343_s_at	aceB	b4014	EG10023
1764331_s_at	fruA	b2167	EG10336
1764281_s_at	nusB	b0416	EG10666
1759787_s_at	yedK	b1931	EG11662
1768355_s_at	ytfA	b4205	G7863
1767618_s_at	prfA	b1211	EG10761
1767263_s_at	eno	b2779	EG10258
1761465_s_at	yobF	b1824	G7000
1765886_s_at	lpxK	b0915	EG11409
1759615_s_at	murF	b0086	EG10622
1760502_s_at	znuB	b1859	EG12368
1766002_at	ykgA	b0300	G6170
1769101_s_at	pspA	b1304	EG10776
1761843_s_at	rzpQ	b1573	EG11302
1766500_s_at	fadM	b0443	G6244
1763206_s_at	yjjK	b4391	EG12343
1767980_s_at	tauC	b0367	G6219
1764101_s_at	purH	b4006	EG10795
1769032_s_at	mocA	b2877	G7496
1761089_at	relE	b1563	EG11131
1760662_at	yeaX	b1803	G6989
1765732_s_at	napF	b2208	EG12068
1763113_s_at	yrdB	b3280	G7697
1765001_at	ribD	b0414	EG11321
1762314_s_at	fabD	b1092	EG11317
1762917_s_at	ptsG	b1101	EG10787
1766729_s_at	renD	b0542	G6298
1761054_at	ssnA	b2879	G7498
1765939_s_at	rlmE	b3179	EG11507
1760205_s_at	hflK	b4174	EG10436
1763861_s_at	mukB	b0924	EG10618
1767717_s_at	hcaD	b2542	G7336
1760716_s_at	rnpB	b3123	EG30069
1768134_s_at	yjdJ	b4127	G7829
1760951_s_at	eptA	b4114	EG11613
1762173_s_at	matB	b0293	G6164
1768379_s_at	panC	b0133	EG11746
1762325_s_at	csgB	b1041	G6547
1764974_s_at	yggE	b2922	EG11244
1760492_s_at	ycdU	b1029	G6536
1767525_s_at	phoA	b0383	EG10727
1767184_s_at	fumA	b1612	EG10356
1762079_at	folK	b0142	EG11374
1766275_s_at	ybaV	b0442	G6243
1761705_s_at	focA	b0904	EG11258
1764206_s_at	yfgJ	b2510	G7318
1769018_s_at	cyoA	b0432	EG10178
1764682_s_at	ubiD	b3843	EG11396
1762056_s_at	ynaE	b1375	G6698
1765134_s_at	yjjA	b4360	EG11214
1760045_s_at	hyfG	b2487	G7304
1763066_s_at	ydiZ	b1724	G6929
1763773_s_at	smpB	b2620	EG11782
1761528_s_at	soxS	b4062	EG10958
1768490_s_at	dnaX	b0470	EG10245
1765267_s_at	xdhA	b2866	G7485
1761582_s_at	ykgL	b0295	G6166
1764767_s_at	surA	b0053	EG10985
1759298_s_at	ydhV	b1673	G6901
1759295_s_at	ycjZ	b1328	G6664
1760524_s_at	yifK	b3795	EG11459
1764371_s_at	bfr	b3336	EG10113
1764155_s_at	hlyE	b1182	G6619
1765541_s_at	yaiI	b0387	G6230
1769037_at	xapB	b2406	EG13159
1768763_s_at	hisJ	b2309	EG12124
1763922_s_at	rimP	b3170	EG11179
1767133_s_at	ybcS	b0555	G6310
1767712_s_at	yeiR	b2173	EG12104
1763295_s_at	hokB	b4428	G0-9610
1767967_s_at	mreB	b3251	EG10608
1760445_at	insN-1	b0255	G6130
1760136_s_at	arsB	b3502	EG12236
1767874_s_at	rpmH	b3703	EG10892
1766310_s_at	panE	b0425	G6239
1763149_at	yeeR	b2001	G7081
1768616_at	paaJ	b1397	G6718
1763103_at	ccmH	b2194	EG12052
1769197_s_at	mtr	b3161	EG10617
1767908_s_at	pdxK	b2418	G7259
1766392_at	yjaZ	b3989	EG11429
1767347_s_at	cpxA	b3911	EG10163
1766736_s_at	pmbA	b4235	EG10741
1769223_s_at	argA	b2818	EG10063
1763072_s_at	rlmM	b2806	EG11794
1759069_at	mrr	b4351	EG10612
1766370_at	yjiT	b4342	G7938
1765435_s_at	gltK	b0653	EG12662
1763257_s_at	dctR	b3507	EG11889
1760768_s_at	marB	b1532	EG11599
1761137_s_at	malG	b4032	EG10556
1762315_s_at	tomB	b0461	EG12429
1765163_s_at	hemA	b1210	EG10427
1765179_s_at	fabA	b0954	EG10273
1759746_s_at	yidI	b3677	EG11697
1760452_s_at	ygaY	b2681	G7404
1768796_s_at	deoR	b0840	EG10223
1764497_s_at	iscU	b2529	G7324
1767510_s_at	nhaA	b0019	EG10652
1769011_s_at	thiM	b2104	M007
1761367_s_at	alsC	b4086	EG11958
1767646_at	rlmC	b0859	G6449
1767856_s_at	yoaD	b1815	G6996
1760033_s_at	yniC	b1727	G6932
1764898_s_at	ygcP	b2768	G7434
1766620_s_at	ydhC	b1660	EG12141
1760376_s_at	yjgM	b4256	G7886
1768167_at	ycgG	b1168	G6608
1764381_s_at	atpF	b3736	EG10103
1765106_s_at	dicB	b1575	EG10227
1763473_s_at	kgtP	b2587	EG10522
1767571_s_at	ybaY	b0453	G6250
1768620_s_at	kdpD	b0695	EG10516
1760534_s_at	rffE	b3786	EG11451
1767196_at	fecB	b4290	EG10287
1764884_at	yfcU	b2338	G7209
1761031_s_at	lysS	b2890	EG10552
1762623_s_at	yhjG	b3524	EG12251
1762551_s_at	holC	b4259	EG11413
1759455_at	cysN	b2751	EG10194
1761236_s_at	nrfD	b4073	EG11947
1762873_s_at	ycaM	b0899	G6466
1767423_s_at	yecA	b1908	EG11139
1768828_s_at	hyaD	b0975	EG10471
1764427_at	perR	b0254	G6129
1763859_s_at	yncJ	b1436	G6747
1765842_s_at	glpE	b3425	EG10395
1767603_s_at	codA	b0337	EG11326
1765898_s_at	mtlD	b3600	EG10616
1769004_at	zraS	b4003	EG10008
1763744_s_at	rpsO	b3165	EG10914
1760167_s_at	cusR	b0571	G6319
1765798_s_at	galU	b1236	EG11319
1767574_s_at	dksA	b0145	EG10230
1766840_s_at	rpe	b3386	M004
1767412_s_at	ycjS	b1315	G6653
1768898_s_at	ytfF	b4210	G7867
1766971_s_at	rihA	b0651	G6358
1759432_s_at	tesB	b0452	EG10995
1767238_s_at	adhE	b1241	EG10031
1766805_at	ascB	b2716	EG10085
1768587_s_at	yciE	b1257	EG11125
1764311_s_at	rpoC	b3988	EG10895
1768439_s_at	slyX	b3348	EG11664
1759651_s_at	yhhZ	b3442	G7759
1759653_s_at	yjfK	b4183	G7848
1765697_s_at	rplC	b3320	EG10866
1765170_s_at	nudE	b3397	G7740
1768827_s_at	lrp	b0889	EG10547
1766770_s_at	blc	b4149	G7837
1764804_s_at	pstS	b3728	EG10734
1766584_s_at	pgaB	b1023	G6530
1764795_s_at	dsbC	b2893	EG11070
1760738_s_at	tdcF	b3113	G7626
1763873_s_at	ppiA	b3363	EG10757
1763087_s_at	prpC	b0333	G6198
1768676_s_at	nadA	b0750	EG10630
1762671_s_at	fhuA	b0150	EG10302
1759185_s_at	ybbA	b0495	EG11657
1759842_s_at	lolB	b1209	EG11293
1760595_s_at	bcsE	b3536	EG12263
1759973_at	sgbU	b3582	EG12286
1768854_s_at	ribE	b0415	EG11322
1766752_at	ydaV	b1360	G6684
1769120_s_at	csgC	b1043	G6548
1766161_s_at	truB	b3166	EG11177
1763030_s_at	ymdE		G6535
1762383_s_at	ydgH	b1604	G6860
1768717_s_at	yeeF	b2014	EG11896
1761178_s_at	cysM	b2421	EG10193
1766725_s_at	ydcY	b1446	G6757
1763076_s_at	nhaR	b0020	EG11078
1760043_s_at	otsA	b1896	EG11751
1766969_s_at	ymgD	b1171	G6611
1760929_s_at	prkB	b3355	EG12365
1761297_s_at	mntR	b0817	G6420
1768468_s_at	yigM	b3827	EG11471
1761965_s_at	ydiM	b1690	G6916
1763456_s_at	rrsH	b0201	EG30090
1768578_at	puuP	b1296	G6643
1766551_s_at	ybaN	b0468	EG12843
1762872_s_at	yhbV	b3159	G7653
1760451_s_at	yjcO	b4078	EG11951
1767635_s_at	yodB	b1974	G7062
1769048_s_at	idnO	b4266	G7892
1765149_s_at	cysG	b3368	EG10188
1764198_s_at	kdsD	b3197	G7662
1765610_s_at	ycgB	b1188	EG11516
1760752_s_at	rplB	b3317	EG10865
1760971_s_at	rbsA	b3749	EG10814
1766465_s_at	yagT	b0286	G6157
1763836_s_at	fbp	b4232	EG10283
1768300_s_at	insL-1	b0016	G6083
1765059_at	btuB	b3966	EG10126
1766868_s_at	sucA	b0726	EG10979
1762748_s_at	nusA	b3169	EG10665
1761572_s_at	yagP	b0282	G6153
1768755_s_at	lysC	b4024	EG10550
1765702_s_at	ybcQ	b0551	G6307
1760336_s_at	uspC	b1895	G7031
1768528_s_at	serC	b0907	EG10946
1761726_s_at	oppB	b1244	EG10675
1762075_s_at	rpmC	b3312	EG10887
1768641_at	sbcC	b0397	EG10927
1766664_s_at	sohA	b3129	EG10955
1765767_s_at	asnC	b3743	EG10093
1764355_at	yfjK	b2627	G7362
1762879_at	essQ	b1556	G6829
1759511_s_at	yfhG	b2555	EG12139
1767864_s_at	lsrF	b1517	G6804
1762832_s_at	yniA	b1725	G6930
1764071_s_at	eamB	b2578	EG12445
1769171_s_at	csrA	b2696	EG11447
1765124_s_at	yraJ	b3144	G7639
1760099_s_at	yfaX	b2248	G7161
1759189_s_at	ygcW	b2774	G7440
1762494_s_at	yciO	b1267	G6635
1764042_s_at	ydaF	b4527	G0-10448
1768895_s_at	ygaC	b2671	EG12201
1762837_s_at	pnp	b3164	EG10743
1763624_s_at	ycjT	b1316	G6654
1769282_s_at	hha	b0460	EG10439
1761141_s_at	puuD	b1298	G6645
1765406_s_at	rpiB	b4090	EG11827
1760786_s_at	yfiF	b2581	EG11786
1769095_s_at	chpB	b4225	EG12096
1769119_s_at	yahL	b0326	G6191
1765202_s_at	ybeL	b0643	EG12851
1765746_s_at	yghR	b2984	G7550
1765995_s_at	rsxC	b1629	G6873
1759862_s_at	artQ	b0862	EG11626
1762031_s_at	yiiR	b3921	EG11875
1761777_s_at	pncA	b1768	EG11135
1765306_at	sgcQ	b4303	G7915
1759551_s_at	yfjD	b4461	EG12442
1761333_s_at	yhdU	b3263	G7694
1761744_s_at	lsrC	b1514	G6801
1766970_s_at	yihO	b3876	EG11841
1767596_s_at	yejH	b2184	EG12045
1763529_at	yqiG	b3046	G7585
1761025_s_at	rseA	b2572	EG12341
1762571_at	ddpF	b1483	G6777
1767183_s_at	yghW	b2998	G7555
1765845_s_at	yfhB	b2560	EG11371
1765941_s_at	ycfQ	b1111	G6569
1766616_s_at	rffA	b3791	EG11456
1768902_s_at	rppH	b2830	G7459
1765545_s_at	nuoL	b2278	EG12092
1765433_at	rprA	b4431	G0-8863
1766873_s_at	mdh	b3236	EG10576
1762924_s_at	yeeA	b2008	EG11891
1766271_s_at	ydhK	b1645	G6885
1765358_s_at	rtcB	b3421	G7751
1766009_s_at	hyfA	b2481	EG11150
1763332_s_at	hofO	b3393	G7737
1761562_at	dicC	b1569	EG10228
1767624_s_at	exbD	b3005	EG10272
1765638_s_at	yhdW	b3268	EG12834
1766932_s_at	yjiJ	b4332	G7929
1766950_at	yagK	b0277	G6148
1767417_s_at	ssb	b4059	EG10976
1768512_s_at	yedA	b1959	EG11141
1761746_at	yhgE	b3402	G7745
1761163_s_at	bamB	b2512	G7320
1763709_s_at	clpP	b0437	EG10158
1767428_s_at	dld	b2133	EG10231
1759334_s_at	yjiL	b4334	G7931
1762280_at	ybeQ	b0644	G6351
1760474_at	yfjW	b2642	G7377
1767121_s_at	ybaK	b0481	EG12454
1762194_s_at	hypD	b2729	EG10486
1762149_s_at	yehY	b2130	EG12011
1763499_s_at	narH	b1225	EG10639
1768362_s_at	ydeO	b1499	G6789
1768604_s_at	glrR	b2554	EG11285
1764607_s_at	glpQ	b2239	EG10399
1765092_s_at	ftsB	b2748	G7424
1764031_s_at	ygjI	b3078	EG12720
1765447_s_at	hyfD	b2484	G7301
1762338_s_at	ligT	b0147	EG12330
1762271_s_at	uhpC	b3667	EG11053
1761238_s_at	acs	b4069	EG11448
1768790_s_at	fucA	b2800	EG10348
1765920_s_at	ypdB	b2381	G7244
1764204_s_at	zntR	b3292	EG11969
1765073_s_at	mhpE	b0352	G6205
1762857_s_at	lysP	b2156	EG11337
1764374_s_at	rsmB	b3289	EG12163
1764879_at	yjhD	b4281	G7902
1760843_at	yjeN	b4157	G7838
1767879_at	recC	b2822	EG10825
1768341_s_at	aspA	b4139	EG10095
1762932_s_at	cspB	b1557	EG12203
1769077_s_at	ygaZ	b2682	G7405
1768514_s_at	nhoA	b1463	G6770
1765339_s_at	eutB	b2441	EG50006
1763267_s_at	yeaM	b1790	G6976
1767832_at	yjhR	b4308	G7918
1769054_s_at	mdtH	b1065	G6559
1767098_s_at	fimA	b4314	EG10308
1769275_s_at	waaA	b3633	EG10520
1763241_s_at	ybiU	b0821	G6424
1762658_s_at	yeaG	b1783	G6969
1763772_s_at	cspG	b0990	G6511
1768919_s_at	sdaC	b2796	EG12142
1765207_s_at	rpsD	b3296	EG10903
1760110_at	relB	b1564	EG10836
1760995_s_at	araA	b0062	EG10052
1767164_s_at	aroH	b1704	EG10080
1766739_s_at	ychH	b1205	EG11533
1762454_s_at	rplW	b3318	EG10883
1759645_s_at	pgsA	b1912	EG10706
1769013_s_at	serS	b0893	EG10947
1767244_s_at	cof	b0446	G6246
1765303_at	ydfP	b1553	G6826
1762284_s_at	yqfE	b2915	G7515
1768187_at	gpmM	b3612	EG12296
1766299_at	sibB	b4437	G0-8885
1762309_s_at	treR	b4241	EG12202
1768966_s_at	vsr	b1960	EG11068
1760945_at	yaiT	b0371	G6222
1759669_s_at	nikD	b3479	EG12078
1762022_s_at	fimH	b4320	EG10315
1761043_s_at	aidB	b4187	EG11811
1762925_s_at	tatD	b4483	EG11481
1759571_s_at	ycgN	b1181	G6618
1767611_at	yphD	b2546	G7340
1760629_s_at	yihW	b3884	EG11849
1763816_s_at	dfp	b3639	EG10004
1763100_s_at	kefC	b0047	EG10521
1766633_s_at	yifE	b3764	EG11450
1766220_at	fhuF	b4367	G7949
1763943_at	yffR	b2449	G7279
1766206_at	arcZ	b4450	G0-8871
1763537_s_at	mukE	b0923	EG11252
1763136_at	yffO	b2446	G7276
1761315_s_at	hyaE	b0976	EG10472
1769090_s_at	yadH	b0128	EG12321
1766412_at	rfbB	b2041	EG12412
1765518_s_at	entB	b0595	EG10260
1764881_s_at	ybeH	b0625	EG12208
1767790_at	rfaI	b3627	EG11352
1768368_s_at	hofQ	b3391	EG12113
1768759_s_at	rstB	b1609	EG11233
1763622_s_at	yidF	b3674	EG11694
1768695_at	ecpD	b0140	EG11973
1761819_s_at	htpG	b0473	EG10461
1764076_s_at	yafS	b0213	G6100
1760773_s_at	rplN	b3310	EG10875
1763015_s_at	ykgM	b0296	G6167
1766475_s_at	ygaH	b2683	G7406
1759205_at	ydfT	b1559	G6830
1767600_s_at	tolR	b0738	EG11011
1759775_at	ptsA	b3947	EG11906
1764211_s_at	ypdC	b2382	G7245
1762287_s_at	ypdA	b2380	G7243
1761799_s_at	yhaC	b3121	EG11174
1759293_s_at	talB	b0008	EG11556
1760478_s_at	hisF	b2025	EG10448
1765770_s_at	ybcV	b0558	G6313
1760932_s_at	ydgI	b1605	G6861
1759313_s_at	menC	b2261	EG11532
1766418_at	yhcA	b3215	EG11515
1764771_s_at	ycbK	b0926	G6474
1767124_s_at	hybA	b2996	EG11799
1765777_s_at	nei	b0714	G6383
1767250_s_at	folP	b3177	EG50011
1766088_s_at	livH	b3457	EG10538
1767707_at	yaiF	b0362	G6214
1765887_s_at	potH	b0856	EG11631
1761893_at	osmF	b2131	EG12012
1767031_at	yjhI	b4299	G7912
1765317_s_at	ydfA	b1571	EG11300
1767928_s_at	ugpQ	b3449	EG11050
1768412_s_at	yegS	b2086	G7123
1765691_s_at	yfaT	b2229	G7156
1768339_s_at	ykgJ	b0288	G6159
1759376_s_at	yihD	b3858	EG11830
1766727_at	hisI	b2026	EG10451
1761794_s_at	ghrA	b1033	G6539
1765273_s_at	rnhB	b0183	EG10861
1762268_s_at	ynfH	b1590	G6848
1761080_x_at	pheL	b2598	EG11271
1766210_at	csgA	b1042	EG11489
1767515_s_at	yecC	b1917	EG12347
1759597_s_at	yhaB	b3120	EG11173
1762036_s_at	rpmE	b3936	EG10889
1767426_s_at	mhpB	b0348	M011
1761783_s_at	minC	b1176	EG10596
1764156_s_at	nudL	b1813	EG12693
1767205_s_at	yibK	b3606	EG11888
1769096_s_at	degS	b3235	EG11652
1768866_s_at	eda	b1850	EG10256
1762641_at	djlB	b0646	G6353
1760040_at	flu	b2000	G7080
1759906_s_at	dadA	b1189	EG11407
1766286_s_at	yhaV	b3130	G7629
1760572_at	yfdN	b2357	G7226
1764775_s_at	yqgB	b2939	G7521
1767774_at	yagG	b0270	G6142
1766472_s_at	cls	b1249	EG11608
1766365_s_at	creA	b4397	EG11217
1768123_s_at	ilvY	b3773	EG10503
1760718_s_at	ynbA	b1408	G6727
1763857_s_at	hokD	b1562	EG11130
1760079_s_at	ynfE	b1587	G6845
1768051_s_at	dapB	b0031	EG10206
1762466_at	yffM	b2444	G7274
1763166_at	tfaS	b2353	G7222
1767218_s_at	dbpA	b1343	EG10210
1764292_s_at	yceB	b1063	EG11117
1762576_s_at	cobB	b1120	G6577
1761880_s_at	yjjV	b4378	G7952
1765654_s_at	b0725		G6388
1764833_s_at	dgt	b0160	EG10225
1768954_s_at	ycbL	b0927	G6475
1760370_s_at	hisG	b2019	EG10449
1764002_s_at	yjgR	b4263	G7890
1761411_s_at	omrB	b4445	G0-8882
1763204_s_at	tnaB	b3709	EG11006
1760568_s_at	ebgC	b3077	EG10253
1761104_s_at	pphB	b2734	G7415
1759339_at	oxyS	b4458	EG31116
1760925_s_at	mltF	b2558	EG11373
1760510_s_at	proS	b0194	EG10770
1766347_s_at	yeiL	b2163	EG12031
1761921_s_at	ybbL	b0490	G6266
1760838_at	ynjC	b1755	G6950
1761041_at	yehI	b2118	EG11995
1761226_s_at	ymfA	b1122	G6579
1764714_s_at	btuE	b1710	EG10129
1765962_s_at	solA	b1059	G6556
1762697_s_at	xylR	b3569	EG20253
1763457_s_at	ydcX	b1445	G6756
1768370_s_at	yhiJ	b3488	EG12225
1764592_s_at	gdhA	b1761	EG10372
1764124_s_at	yeaY	b1806	G6990
1766783_s_at	tatB	b3838	G7808
1765253_s_at	yjbJ	b4045	EG11928
1761543_s_at	ccmB	b2200	EG12058
1762847_s_at	pinR	b1374	G6697
1764098_s_at	yhbP	b3154	G7648
1768286_s_at	ydiY	b1722	G6928
1763158_at	ydfU	b1560	G6831
1763284_s_at	mug	b3068	EG12717
1765838_s_at	feoA	b3408	EG12101
1763328_at	sgcR	b4300	G7913
1761950_s_at	pheT	b1713	EG10710
1769289_s_at	alsB	b4088	EG12458
1763294_s_at	nanM	b4310	G7920
1764359_s_at	menA	b3930	EG11880
1769253_s_at	ribC	b1662	EG11406
1763909_s_at	ydfO	b1549	G6822
1765902_at	fecI	b4293	EG10291
1768593_s_at	ygcE	b2776	G7442
1768611_at	yghE		G7536
1764234_s_at	brnQ	b0401	EG12168
1767723_s_at	rsmG	b3740	EG10376
1766629_s_at	ykgE	b0306	G6176
1761214_s_at	aaeA	b3241	G7686
1766008_s_at	ribB	b3041	EG10465
1767542_s_at	ynjH	b1760	G6955
1764314_s_at	yhhJ	b3485	EG11767
1767178_s_at	idnT	b4265	EG12539
1764978_at	yfjU	b2638	G7373
1761194_s_at	ybhQ	b0791	G6408
1762085_s_at	mlaA	b2346	G7216
1764493_s_at	trmD	b2607	EG11023
1766693_at	argT	b2310	EG10072
1768008_at	panB	b0134	EG11675
1765114_s_at	rarA	b0892	EG12690
1766279_at	iraM	b1160	G6600
1766391_at	yihQ	b3878	EG11843
1759135_s_at	higB	b3083	G7602
1759393_s_at	hscB	b2527	EG12131
1762178_s_at	ynfB	b1583	G6841
1764945_s_at	uhpA	b3669	EG11051
1769031_s_at	yeaK	b1787	G6973
1767472_s_at	focB	b2492	G7309
1763647_s_at	radA	b4389	EG11296
1764794_s_at	rplO	b3301	EG10876
1767116_s_at	yaiW	b0378	G6227
1759939_s_at	carA	b0032	EG10134
1766186_s_at	yddB	b1495	EG11743
1767637_s_at	caiF	b0034	G6088
1767855_s_at	cmtB	b2934	EG11791
1765595_s_at	ompA	b0957	EG10669
1763444_s_at	lolD	b1117	G6574
1762891_s_at	amtB	b0451	EG11821
1765076_s_at	yecN	b1869	G7019
1767734_s_at	ilvN	b3670	EG10502
1767865_s_at	ttdR	b3060	EG12694
1763027_s_at	ybbM	b0491	G6267
1768380_s_at	frmB	b0355	G6208
1768304_s_at	ydiE	b1705	EG12391
1762941_s_at	rfaE	b3052	G7590
1760378_s_at	deoA	b4382	EG10219
1759247_at	lit	b1139	EG10535
1767462_at	symE	b4347	G7940
1763341_at	yqiH	b3047	G7586
1759542_s_at	pflA	b0902	EG10028
1762959_s_at	gldA	b3945	EG11904
1763519_s_at	yjgJ	b4251	G7882
1760594_s_at	ydeS	b1504	G6794
1763682_s_at	eutK	b2438	G7270
