probe    C8 Avg	Control Avg
1765241_s_at	2.67733	3.97526
1766935_s_at	3.63165	3.79004
1767211_at	2.33164	2.33549
1761433_s_at	3.91653	2.54868
1766815_s_at	4.30527	4.43559
AFFX-BioB-3_at	3.69601	2.89282
1769158_s_at	4.78630	5.00364
1767983_s_at	4.78854	5.18800
1759865_s_at	6.73403	6.47547
1763412_s_at	2.75085	2.69409
1764028_s_at	2.59229	2.99884
AFFX-r2-Ec-bioB-M_at	6.06160	4.80551
1764006_s_at	3.97045	3.60040
1764073_s_at	2.82329	2.45774
1769076_at	2.49970	2.51557
1761164_s_at	2.49045	2.40732
1762483_s_at	3.81526	4.09941
1763312_at	9.29473	9.13217
1761160_s_at	2.88382	4.76659
1760147_s_at	4.14405	3.37618
1765426_at	2.38711	2.39184
1760294_s_at	3.18736	3.10175
1767565_s_at	5.02315	4.14200
1765778_s_at	3.85160	3.04477
1763277_s_at	3.72731	3.93368
1763634_s_at	2.37123	2.39403
1763308_s_at	3.95634	3.48714
1761629_s_at	3.56427	3.37202
1761210_s_at	3.94582	3.65050
1761267_at	2.33881	2.34454
1767229_at	4.71061	5.32483
1761388_s_at	6.08086	4.94525
1765745_s_at	2.55904	2.44360
1759110_s_at	7.15882	6.96117
1768493_s_at	2.32726	2.33035
1759646_at	2.34106	2.32399
1762292_s_at	8.14356	7.03042
1766226_s_at	2.50307	3.16324
1763471_s_at	4.90497	5.55304
1760069_at	2.40146	2.43507
1765372_s_at	5.89990	6.12432
1759761_s_at	3.89681	3.38210
1765685_at	2.52918	2.56168
1759395_s_at	8.82056	8.30652
1761362_s_at	4.49868	4.35620
1766408_s_at	2.87392	3.27157
1761979_s_at	4.75119	4.68001
1767343_s_at	2.49731	2.50330
1768609_s_at	3.45218	3.95581
1760724_s_at	6.57219	5.95856
1764077_s_at	4.25431	2.89405
1762053_s_at	3.28270	2.82531
1763781_s_at	4.37325	3.35477
1764487_s_at	6.28789	6.03544
1763870_s_at	2.47132	2.47610
1768029_s_at	2.61832	2.41837
1767074_s_at	2.41174	2.63979
1765311_at	4.93461	5.37258
1765425_s_at	6.86743	6.08883
1764856_s_at	2.40276	2.36206
1767894_s_at	2.56803	3.08195
1762401_s_at	2.77880	2.32227
1764243_s_at	2.48296	2.99028
1767041_s_at	2.83583	2.40476
1768565_s_at	5.43855	5.53257
1763930_at	5.40752	5.68058
1761145_s_at	4.48882	4.58797
1767978_s_at	2.30433	2.30998
1764389_s_at	2.36652	2.39261
1767435_s_at	3.20039	4.89655
1765966_s_at	4.88085	4.96613
1761612_s_at	2.78347	2.56973
1766583_s_at	7.01841	6.47164
1759406_s_at	2.31877	2.32239
1767430_s_at	2.52256	2.82934
1764397_s_at	2.82989	2.52483
1760707_s_at	2.40363	2.40693
1763173_s_at	2.35104	2.38403
1766576_s_at	3.19991	3.50538
1766952_s_at	2.34321	2.34559
1759726_s_at	2.35186	2.36247
1760732_at	2.38899	2.40714
1763891_s_at	11.37758	11.84944
1764499_s_at	3.97007	3.76681
1764110_s_at	2.43539	2.44378
1766202_s_at	2.57424	2.90408
1764440_s_at	6.44336	6.08621
1759179_s_at	3.04810	2.75945
1762904_s_at	3.68274	2.83697
1767356_s_at	4.03721	3.52200
1765548_s_at	2.43847	2.40713
1763661_s_at	2.70004	2.70407
1760410_at	2.60647	2.46384
1759876_at	2.31815	2.32188
1768632_s_at	3.62480	3.09655
1767207_s_at	7.60466	7.00395
1763712_s_at	7.41431	7.01249
1760881_s_at	4.34108	3.90031
1759635_s_at	3.39663	4.20393
1768991_s_at	4.21369	4.48407
1764710_s_at	4.71056	4.94440
1769127_s_at	2.43503	2.38480
1760257_s_at	4.95928	4.67594
1762076_s_at	2.36187	2.36538
1764090_s_at	4.34680	3.93979
1768064_s_at	2.42923	2.46548
1761477_s_at	2.31058	2.31336
1765884_s_at	2.47388	2.34839
1760617_s_at	5.47505	6.07813
1762772_s_at	2.72488	2.64464
1762424_s_at	3.03128	2.94087
1761549_s_at	2.79270	3.33386
1766657_s_at	6.46409	5.81721
1765216_s_at	2.45344	2.58864
1766615_at	2.84184	3.02464
1760684_s_at	3.03554	3.12723
1766197_s_at	7.62810	8.06486
1764083_s_at	6.67989	6.49673
1765098_s_at	2.37430	2.38213
1763985_s_at	4.60917	5.76182
