probe    C8 Avg	Control Avg
1769134_at	2.42994	2.40721
1765128_s_at	2.38468	2.39528
1768339_s_at	2.40372	2.39383
1759376_s_at	3.53534	3.50130
1766727_at	3.59207	2.78939
1761794_s_at	3.77753	3.54346
1765273_s_at	4.14520	4.15447
1762268_s_at	2.32868	2.30761
1762320_s_at	2.43061	2.45211
1765813_s_at	2.32317	2.31253
1759547_at	2.31918	2.32114
1761196_s_at	2.38353	2.44357
1762025_s_at	3.14628	3.17828
1764451_s_at	2.32393	2.32765
1759357_at	2.32281	2.34028
1762018_s_at	2.41233	2.42361
1761080_x_at	3.41607	3.24587
1766210_at	2.37024	2.39585
1767515_s_at	2.73677	2.91984
1759597_s_at	2.38870	2.40875
1760220_s_at	2.31858	2.34891
1767032_at	2.37342	2.38035
1762036_s_at	6.29767	6.10884
1767426_s_at	2.47989	2.48049
1761783_s_at	3.16935	3.05562
1762676_s_at	2.60367	2.60553
1764555_s_at	2.39666	2.40631
1763196_s_at	2.36778	2.38399
1760566_s_at	2.38879	2.39216
1764156_s_at	2.87615	2.87411
1768430_s_at	3.48627	3.31581
1760777_s_at	2.39783	2.40475
1766756_s_at	2.36757	2.43044
1766448_s_at	2.36381	2.36824
1767205_s_at	2.70978	2.52419
1769096_s_at	2.39352	2.42239
1764400_at	2.31383	2.32234
1768866_s_at	4.74746	4.48428
1765472_s_at	2.37903	2.38522
1765121_at	2.33578	2.36264
1760332_s_at	2.42004	2.45395
1764047_s_at	2.33638	2.37292
1768091_s_at	3.45729	3.53127
1762641_at	2.32652	2.34833
1760040_at	5.76153	5.43828
1759906_s_at	2.48061	2.48533
1766286_s_at	2.45788	2.46027
1761381_s_at	2.30782	2.32232
1762195_s_at	2.39314	2.45632
1764392_at	2.43215	2.45612
1762446_s_at	2.29554	2.31514
1760572_at	2.33477	2.34217
1762981_s_at	2.44040	2.43233
1765287_at	2.35337	2.43693
1764775_s_at	3.67856	3.53096
1767774_at	2.38981	2.37411
1766472_s_at	2.49833	2.48693
1766365_s_at	3.36925	3.07134
1768123_s_at	3.91652	4.26899
1760718_s_at	2.35295	2.35145
1763857_s_at	2.51743	2.63458
1760079_s_at	2.40309	2.41456
1764687_s_at	2.52704	2.52898
1768051_s_at	2.85692	2.99814
1762466_at	2.38508	2.38792
1765325_s_at	6.94691	7.27123
AFFX-Ec-U89963-1_s_at	2.34120	2.34380
1760774_at	2.36576	2.37342
1763166_at	2.32543	2.33185
1767793_s_at	2.31625	2.34086
1759781_s_at	2.32854	2.34694
1763740_at	2.36192	2.38153
1764578_s_at	2.43920	2.52792
1767218_s_at	2.37407	2.39600
1766595_s_at	2.45410	2.44819
1767181_s_at	2.35894	2.36042
1764292_s_at	2.47437	2.53342
1765441_s_at	2.39703	2.38100
1762576_s_at	2.44667	2.45536
1763191_s_at	2.42587	2.42801
1764194_s_at	2.35081	2.32930
1766699_s_at	2.37902	2.38404
1761880_s_at	3.30635	3.03600
1765654_s_at	4.69868	4.43022
1764833_s_at	2.54405	2.44926
1768954_s_at	3.54440	3.42982
1759498_s_at	2.33823	2.34472
1760370_s_at	5.72191	5.95815
1764002_s_at	2.45597	2.55374
1761411_s_at	2.47986	2.50433
1763525_s_at	2.63558	2.58609
1763204_s_at	2.39429	2.58277
1767558_s_at	2.49393	2.47500
1769264_s_at	2.33476	2.34225
1760568_s_at	2.45460	2.47626
1763180_s_at	2.37397	2.37597
1761104_s_at	2.75048	2.70792
1767097_s_at	2.42185	2.47447
1768460_s_at	3.09636	3.11852
1759802_at	2.37578	2.37851
1759339_at	2.47668	2.60246
1760925_s_at	2.97746	2.81397
1760510_s_at	3.37803	3.97241
1766347_s_at	2.39214	2.39509
1761921_s_at	3.29725	3.34066
1768019_x_at	2.29978	2.30261
1760838_at	2.37845	2.38235
1761041_at	2.35409	2.35291
1761226_s_at	2.44344	2.53552
1763532_at	2.43250	2.48272
1764169_s_at	2.33504	2.33797
1764714_s_at	3.72618	3.44131
1765962_s_at	3.68069	3.24149
1762697_s_at	2.36206	2.36397
1759540_s_at	3.56731	3.31497
1759424_at	2.34879	2.35549
1766936_s_at	2.38684	2.39919
1763457_s_at	2.53665	2.42918
1764836_s_at	2.38892	2.39793
1766214_at	2.39732	2.39918
1760759_s_at	2.38380	2.38639
1759619_s_at	2.41232	2.44410
1765899_s_at	2.39111	2.40207
1765931_at	2.66439	2.66894
1764317_at	2.41347	2.38859
1768370_s_at	2.50855	2.51639
1764592_s_at	7.88830	7.52137
1762550_s_at	2.71734	2.44456
1764124_s_at	3.06879	3.10500
1763789_s_at	2.41263	2.41981
1766783_s_at	4.80775	5.15015
1765253_s_at	2.46514	2.42046
1761543_s_at	2.45516	2.45141
1762847_s_at	2.57261	2.59428
1764098_s_at	2.30640	2.30303
1759914_s_at	2.72740	2.71503
1768286_s_at	2.74414	2.74595
1759281_at	2.32172	2.36544
1763158_at	2.48351	2.48863
1759274_s_at	2.59551	2.57985
1765049_s_at	2.41270	2.37387
1763284_s_at	4.56812	4.51468
1765838_s_at	2.45154	2.41249
1766345_s_at	2.34462	2.35910
1763328_at	2.40816	2.43277
1761950_s_at	5.31874	5.63217
1765531_at	2.32653	2.30816
1763961_s_at	2.30882	2.31030
1769289_s_at	2.97879	2.98575
1766728_x_at	2.62392	2.65738
1763294_s_at	2.61058	2.65764
1766753_at	2.39454	2.40410
1763268_s_at	2.31958	2.32081
1764359_s_at	3.46211	3.53312
1769253_s_at	3.11522	3.02049
1763909_s_at	2.35201	2.33351
1760430_at	2.36292	2.36721
1763646_at	2.34754	2.35143
1763097_s_at	2.80482	2.90184
1761789_s_at	2.32702	2.33655
1765152_at	2.36387	2.36719
1765455_s_at	2.39789	2.40500
1761631_s_at	2.36672	2.38188
1765902_at	2.54966	2.58739
1768593_s_at	2.32466	2.30174
1766630_s_at	2.50564	2.50696
1768611_at	2.37635	2.39748
1764234_s_at	3.73871	3.45780
1763454_s_at	2.33655	2.34096
1767723_s_at	3.35695	3.66500
1766629_s_at	2.57837	2.67453
1761214_s_at	2.62328	2.41053
1762934_at	2.32596	2.31918
1766454_s_at	2.30293	2.30949
1769089_s_at	2.47093	2.51362
1767131_at	2.45990	2.49420
1766008_s_at	3.03202	3.12207
1768390_s_at	2.35203	2.35624
1766979_at	2.41833	2.42741
1769049_s_at	2.41599	2.37496
1768648_at	2.35561	2.35828
1762264_at	2.36855	2.37047
1767542_s_at	2.47045	2.52781
1759923_s_at	2.27965	2.28952
1768865_at	2.43983	2.47268
1764314_s_at	2.35643	2.47074
1766141_s_at	2.79841	2.76034
1763451_s_at	2.29666	2.31151
1767178_s_at	2.46941	2.41238
1763077_x_at	2.42527	2.43935
1764978_at	2.51491	2.50441
1761194_s_at	2.70857	2.79262
1762085_s_at	4.01675	3.73785
1763449_s_at	2.33730	2.33960
1764493_s_at	8.34669	8.33199
1767593_s_at	2.37491	2.44923
1766693_at	3.56772	3.65416
1769210_s_at	2.29623	2.32943
1767387_at	2.35707	2.33238
1768008_at	2.88569	2.93587
1768190_at	2.42906	2.43424
1762505_s_at	2.38984	2.42745
1767718_s_at	2.48532	2.43589
1768249_s_at	2.55630	2.56372
1765114_s_at	2.67147	2.65369
1766279_at	2.39068	2.39758
1766391_at	2.38521	2.38640
1759135_s_at	2.41820	2.38919
1759393_s_at	2.87754	2.91984
1761461_at	2.39023	2.39792
1762178_s_at	3.89585	3.95200
1764945_s_at	3.16901	2.73466
1765720_at	2.37723	2.38365
1760269_s_at	2.52262	2.52666
1769155_at	2.31641	2.32244
1769162_at	2.32376	2.31842
1769031_s_at	2.67062	2.54226
1764008_s_at	2.34604	2.37599
1767472_s_at	2.30271	2.30389
1763647_s_at	3.68458	3.74316
1764794_s_at	7.52445	7.55196
1764907_s_at	2.37983	2.38633
1769191_s_at	2.35422	2.39834
1767116_s_at	2.80407	2.98351
1767584_s_at	2.37945	2.36401
1766010_s_at	2.32060	2.32251
1759939_s_at	5.81663	6.44142
1766186_s_at	2.34660	2.39144
1765628_at	2.42006	2.46598
1767314_s_at	2.40174	2.40985
1767637_s_at	3.21435	3.39743
1767855_s_at	2.46028	2.39933
1765100_s_at	2.34570	2.37010
1765595_s_at	8.38982	7.80214
1769226_s_at	2.34747	2.35037
1763444_s_at	3.46649	3.47955
1762891_s_at	2.32084	2.30465
1765076_s_at	3.81172	3.55564
1767734_s_at	3.36910	3.38484
1767106_s_at	2.37433	2.33384
1768608_s_at	2.40068	2.39214
1766179_s_at	2.34711	2.34913
1767865_s_at	2.96667	3.01633
1763027_s_at	2.42241	2.45234
1766352_s_at	2.35884	2.41886
1766289_x_at	2.37643	2.38017
1768380_s_at	2.32386	2.33960
1768304_s_at	2.80689	3.07290
1760683_s_at	2.39611	2.34616
1768351_s_at	2.36897	2.37935
1762941_s_at	2.44349	2.45050
1765629_s_at	2.37097	2.37199
1767847_s_at	2.66595	2.56686
1761174_s_at	2.35566	2.38551
1760378_s_at	2.92935	2.60647
1766612_at	2.41489	2.42820
1760001_s_at	2.34179	2.35098
1763086_s_at	2.30780	2.34063
1767443_s_at	2.35396	2.33895
1761415_at	2.46251	2.47802
1760840_s_at	2.68375	2.66674
1762893_s_at	2.35762	2.36403
1763788_s_at	2.36652	2.38161
1759247_at	3.12186	2.90367
1767462_at	2.37917	2.36444
1763341_at	2.33818	2.41426
1759542_s_at	3.97190	3.59150
1762959_s_at	2.40962	2.38165
1760930_s_at	2.43989	2.39798
1763519_s_at	2.91167	2.80078
1766229_s_at	2.42719	2.43282
1766468_s_at	2.35044	2.35266
1764168_at	2.35271	2.37907
1761278_s_at	2.38635	2.39416
1760594_s_at	2.44255	2.45563
1763753_at	2.31259	2.31574
1763682_s_at	2.39769	2.39992
1768251_s_at	2.40536	2.42780
1767523_s_at	2.32054	2.32434
1763342_at	2.76742	2.85702
1765932_s_at	4.98031	4.83777
1769073_s_at	2.36051	2.35998
1768523_s_at	3.55839	3.29319
1761626_s_at	2.32688	2.33138
1766308_at	2.35105	2.35714
1759076_s_at	2.42870	2.43421
1761851_s_at	2.50770	2.56645
1761943_s_at	2.34839	2.37662
1767394_s_at	2.41806	2.41977
1765385_at	2.36775	2.40973
1764469_s_at	2.38476	2.38587
1764402_s_at	2.34931	2.33114
1765912_at	2.37761	2.40653
1766909_s_at	2.50675	2.47232
1766587_s_at	3.94933	3.82185
1764409_s_at	7.54441	7.72336
1766025_s_at	2.28827	2.29056
1759113_s_at	4.04878	4.15525
1764960_at	2.94581	2.99460
1766306_s_at	3.91714	4.00066
1766494_s_at	4.71682	4.49331
1764774_s_at	2.40964	2.41551
1764387_s_at	2.45680	2.45862
1760856_at	2.34501	2.35384
1763029_s_at	3.24786	3.24115
1768128_s_at	2.42757	2.47966
1763260_s_at	2.40946	2.39277
1768261_at	2.38607	2.40506
1761702_s_at	2.67276	2.68273
1765819_s_at	2.37123	2.38199
1759815_s_at	2.41234	2.44469
1763251_at	2.41883	2.42441
1768561_s_at	4.27290	4.40397
1764747_s_at	2.88390	2.73792
1764893_s_at	2.87546	2.76648
1761703_s_at	2.89177	2.36901
1761301_at	2.42140	2.47983
1763747_at	2.52622	2.39650
1759794_at	2.27795	2.26987
1760449_at	2.57942	2.64619
1762340_at	2.33372	2.34159
1762711_s_at	3.46111	3.49702
1765364_at	2.46747	2.43111
1761547_at	2.38816	2.39761
1764390_s_at	2.44466	2.45897
1763711_at	2.34801	2.34973
1768208_at	2.40516	2.46523
1760806_s_at	2.31184	2.35030
1759108_s_at	3.90799	3.91642
1761231_s_at	2.40311	2.41425
1766083_s_at	3.28250	3.30002
1769045_s_at	3.32554	3.32336
1759932_at	2.38826	2.39428
1766781_s_at	2.32276	2.33253
1769082_s_at	8.58587	8.73467
1766902_s_at	2.37206	2.37557
1766189_s_at	4.10423	4.16837
1766341_s_at	2.44605	2.41124
1768302_s_at	2.34006	2.34852
1766423_s_at	2.86598	2.88288
1765386_s_at	2.31787	2.31916
1762978_s_at	2.48275	2.48371
1766939_at	2.32848	2.31469
1763223_at	2.37891	2.38656
1762525_s_at	4.86649	4.51593
1763898_at	2.34049	2.34773
1760837_s_at	2.59261	2.65380
1763635_s_at	2.34564	2.35361
1759119_s_at	2.42453	2.42954
1768834_at	2.40466	2.46230
1768737_s_at	2.38238	2.38519
1768063_s_at	2.35112	2.39808
1765569_s_at	2.49204	2.49285
1762313_s_at	3.56588	3.44562
1762965_s_at	2.39603	2.32980
1764229_s_at	2.40400	2.40074
1763503_s_at	2.54113	2.62065
1766296_s_at	2.33765	2.34557
1765650_s_at	2.30943	2.34488
1766714_s_at	2.44027	2.31065
1760664_s_at	2.61356	2.69512
1764779_at	2.34042	2.37321
1769135_at	2.34942	2.31430
1765663_s_at	2.47939	2.52896
1762683_s_at	2.82544	2.82755
1761808_at	2.75445	2.56100
1766274_s_at	2.42460	2.44990
1764055_s_at	4.99152	5.51089
1767914_s_at	2.57955	2.55273
AFFX-ThrX-3_at	2.41732	2.45532
1759837_s_at	2.39042	2.44092
1764617_s_at	2.34565	2.43725
1760506_at	2.32201	2.32495
1766516_at	2.32107	2.33978
1759859_s_at	5.73098	6.15585
1762402_s_at	2.66308	2.68483
1760962_at	2.36513	2.36849
1766749_s_at	2.32560	2.32946
1762868_at	2.37798	2.38414
1761099_s_at	2.40799	2.43557
1765205_at	2.31016	2.29517
1763496_s_at	2.31356	2.31175
1769071_s_at	2.38309	2.39419
1763916_s_at	2.35271	2.34661
1763900_s_at	3.32855	3.36681
1767233_at	2.36710	2.44526
1762504_at	2.35141	2.37938
1766650_s_at	3.05655	2.93147
1767464_at	2.51949	2.47027
1761270_s_at	2.34329	2.33365
1763377_s_at	2.41434	2.41872
1759989_s_at	3.70535	3.69964
1760469_s_at	2.35029	2.39400
1768077_at	2.37154	2.39396
1768017_s_at	2.43385	2.41649
1763509_s_at	2.23826	2.23751
1759548_s_at	5.27900	4.84606
1763464_s_at	2.39398	2.39809
1768684_s_at	5.79297	6.00443
1768299_at	2.37231	2.43235
1765544_at	2.33704	2.34163
1767051_s_at	2.68968	2.70758
1762285_s_at	2.34768	2.34985
1761865_s_at	4.48907	4.38383
1761906_s_at	2.37778	2.41905
1762516_s_at	2.37430	2.36710
1768963_s_at	2.42616	2.39553
1760446_s_at	2.36339	2.41387
1761000_s_at	2.40702	2.41018
1762354_s_at	2.45759	2.41308
1760094_s_at	3.40762	3.40966
1763684_at	2.38000	2.39472
1766552_s_at	2.32876	2.33167
1763118_s_at	5.41076	5.54362
1761191_s_at	2.53692	2.49302
1769180_s_at	2.77800	2.47856
1765478_s_at	2.30829	2.35613
1765761_s_at	6.15872	5.90564
1759358_s_at	2.33764	2.30890
1765103_at	2.89036	2.90806
1768232_s_at	7.82947	7.43851
1764222_at	2.38955	2.40121
1764153_s_at	2.35228	2.32304
1765290_s_at	2.33709	2.33834
1766021_at	2.34430	2.42976
1767667_s_at	2.36063	2.36544
1761165_s_at	3.17691	2.97469
1767815_s_at	2.32459	2.34440
1767094_s_at	2.35548	2.35751
1760996_at	2.41140	2.45742
1763586_s_at	2.30066	2.30165
1764790_at	2.72973	2.50992
1761681_s_at	3.94589	3.98237
1763560_s_at	4.95463	4.93933
1761571_s_at	2.31819	2.31931
1760456_s_at	2.35922	2.36728
1762003_s_at	2.76938	2.52731
1768491_at	2.46409	2.46222
1760859_s_at	2.56499	2.56059
1767786_s_at	2.61955	2.66044
1760755_s_at	2.64851	2.70401
1762510_s_at	2.89273	3.22925
1764891_s_at	2.32208	2.35390
1760122_s_at	2.26121	2.26307
1760088_s_at	2.52840	2.57593
1761061_at	2.44119	2.45765
1765533_s_at	2.85844	2.79433
1764319_s_at	3.19652	3.16336
1764079_s_at	2.36971	2.37330
1769288_at	3.08606	3.15981
1768931_at	2.41565	2.40920
1759826_s_at	2.59773	2.75864
1766982_s_at	2.47924	2.49985
1767488_s_at	2.71652	2.63876
1765929_s_at	2.50305	2.51806
1765079_s_at	2.40021	2.43509
1765424_at	2.37421	2.40474
1768215_s_at	2.38230	2.44255
1769010_s_at	2.47699	2.45765
1763536_s_at	4.50996	4.77322
1759954_at	2.32559	2.33087
1762998_s_at	2.48350	2.43193
1764246_at	2.33532	2.36685
1761699_s_at	2.38044	2.40817
1764144_s_at	2.38165	2.38802
1767598_s_at	3.06479	3.19862
1767433_s_at	3.91303	3.92861
1767363_s_at	2.55590	2.55688
1762737_s_at	2.33075	2.33657
1763379_at	2.29307	2.31157
1764554_s_at	2.41278	2.42932
1765905_s_at	2.41595	2.43921
1766182_s_at	2.25407	2.26036
1767499_at	2.40595	2.49031
1761698_s_at	2.41533	2.38890
1761608_s_at	2.37746	2.43561
1759410_s_at	2.34317	2.33372
1765766_s_at	2.57369	2.71486
1766213_s_at	2.55636	2.56410
1762048_at	2.68902	2.57895
1766290_s_at	2.35612	2.36512
1766507_s_at	2.51373	2.45563
1759233_at	2.43106	2.37594
1763179_s_at	2.53533	2.53034
1762345_s_at	2.51657	2.42442
1768188_at	2.35578	2.35799
1764193_at	2.33943	2.34198
1760034_at	2.28469	2.28709
1768207_s_at	2.26891	2.28004
1764943_at	2.34345	2.34532
1769228_s_at	2.40395	2.43526
1761261_s_at	2.40477	2.36775
1766451_at	2.35283	2.42506
1767936_at	2.34660	2.37047
1766453_s_at	2.41099	2.39845
1759326_at	2.37031	2.42664
1765105_s_at	2.48956	2.53729
1761423_s_at	2.37284	2.37452
1765731_s_at	2.46181	2.52011
1768662_s_at	3.04149	2.94758
1765291_s_at	2.34979	2.36058
1764502_s_at	2.55157	2.54167
1768891_at	2.37699	2.37518
1762045_s_at	2.38892	2.45228
1766241_at	2.58034	2.46017
1760884_s_at	3.91825	4.02437
1762166_s_at	3.30197	3.28036
1763793_s_at	2.37060	2.35369
1766268_s_at	3.15057	3.05862
1763947_s_at	5.15984	5.07751
1764935_s_at	2.62026	2.43318
1761588_s_at	2.45360	2.45611
1768570_s_at	2.42668	2.52694
1768073_at	6.57812	6.03005
1767580_s_at	2.35250	2.33656
1761964_s_at	3.06138	3.11890
1766871_s_at	2.75170	2.79215
1769273_s_at	3.68826	3.24512
1760658_s_at	2.41424	2.42888
1766091_at	2.32581	2.42091
1763123_s_at	2.35897	2.36707
1761024_at	2.36585	2.41494
1761838_s_at	2.39452	2.35337
1762789_s_at	2.63087	2.74030
1761485_s_at	6.16756	6.27245
1765695_s_at	2.97495	2.99793
1761397_at	2.36559	2.42363
1766136_s_at	2.46375	2.46924
1759242_s_at	3.72571	3.34792
1768437_s_at	2.37452	2.32916
1763016_s_at	2.40359	2.35113
1759213_s_at	2.38072	2.43724
1765515_s_at	2.74756	2.77066
1768301_at	2.34470	2.34915
1766983_s_at	2.31801	2.37603
1766325_s_at	2.56249	2.53782
1766120_s_at	2.33500	2.38861
1759563_s_at	2.88426	2.91922
1763408_s_at	2.35972	2.36212
1767765_s_at	3.23329	2.99594
1759460_s_at	2.34976	2.46787
1760519_s_at	2.40034	2.40215
1760127_at	2.36407	2.43222
1763944_at	2.35536	2.34492
1764058_s_at	2.70529	2.58363
1762824_s_at	3.26851	3.43741
1763904_at	2.36628	2.34316
1768046_s_at	2.30922	2.31360
1764968_s_at	2.39423	2.46360
1764150_s_at	3.00163	2.85856
1766656_s_at	2.38782	2.39785
1767829_s_at	3.50848	3.63851
1760176_s_at	3.43432	3.45563
1765334_s_at	2.36067	2.42778
1767694_s_at	3.26477	3.19336
1761192_at	2.34679	2.34976
1767034_s_at	2.39896	2.50901
1762635_s_at	2.47726	2.42953
1765485_s_at	2.78004	2.72549
1765536_s_at	2.44471	2.47586
1762926_s_at	2.30991	2.34414
1764421_s_at	2.35681	2.43614
1759925_s_at	2.47301	2.41125
1769052_s_at	2.46808	2.50221
1760221_at	2.32697	2.33456
1764770_s_at	2.51836	2.54461
1759170_s_at	4.05641	4.00950
1761077_at	2.40011	2.40417
1761209_at	2.33757	2.36051
1763024_at	2.33553	2.33774
1763152_s_at	2.32193	2.34507
1759299_s_at	4.53384	4.68804
1760341_s_at	2.50778	2.52133
1760381_s_at	2.54100	2.58460
1765751_s_at	2.42081	2.44573
1766155_s_at	4.47368	4.27330
1764698_s_at	2.43849	2.39090
1763141_s_at	2.39056	2.45287
1768968_s_at	3.56109	3.58456
1766339_s_at	2.31880	2.33655
1759672_at	2.41030	2.42416
1763937_s_at	2.36886	2.38935
1763263_at	2.34451	2.39030
1765585_s_at	2.69553	2.68019
1763240_s_at	2.35049	2.35281
1766323_s_at	2.32503	2.32674
1768093_s_at	2.41656	2.41811
1765661_at	2.36452	2.44545
1759603_at	2.39160	2.39454
1761687_s_at	2.51026	2.37108
1762234_s_at	2.46776	2.43758
AFFX-PheX-5_at	2.44069	2.55209
1760907_s_at	2.31741	2.32173
1765946_s_at	2.31227	2.31848
1765300_s_at	2.40629	2.38701
1759884_s_at	2.92698	3.12866
1761646_at	2.42799	2.45510
1768037_s_at	4.88049	4.62721
1766692_at	2.36231	2.36630
1763417_s_at	2.35562	2.40218
1766740_s_at	2.35411	2.38075
1765403_at	2.33508	2.34631
1767841_s_at	2.41785	2.41981
1761074_at	2.36926	2.37574
1764636_s_at	2.54761	2.42625
1762778_s_at	2.38699	2.36025
1763200_s_at	2.41219	2.42090
1769122_at	2.36557	2.37267
1766686_s_at	2.41274	2.41933
1768610_s_at	2.65119	2.53863
1759535_at	2.30695	2.30859
1764679_s_at	4.51810	4.43327
1765975_s_at	2.43208	2.37234
1760064_s_at	2.41384	2.43981
1759712_at	2.37910	2.38167
1764297_s_at	2.35399	2.32221
1764559_s_at	2.39359	2.48233
1763834_at	2.38060	2.45373
1759617_at	2.31451	2.34124
1765195_s_at	2.54564	2.51645
1768629_s_at	6.40633	6.44566
1759987_s_at	3.15489	3.25696
1762621_at	2.45898	2.48543
1768373_s_at	2.49753	2.51799
1763281_s_at	2.32230	2.34979
1767702_s_at	2.32258	2.30940
1762830_s_at	3.50010	3.47503
1760325_at	2.35773	2.35950
1764791_s_at	2.59136	2.45160
1759384_s_at	3.88503	3.91542
1764267_s_at	2.36530	2.42840
1768900_at	2.35106	2.36143
1764628_at	2.29824	2.28128
1768372_s_at	2.40234	2.41437
1768291_s_at	2.69054	2.69868
1767507_at	2.33242	2.38947
1766413_s_at	2.44976	2.39973
1765519_s_at	2.66046	2.43804
1761614_s_at	2.66248	2.56249
1762488_s_at	2.49291	2.49072
1769267_s_at	3.50373	3.43085
1761224_at	2.31449	2.31696
1763221_s_at	2.85340	2.77787
1763974_at	2.42636	2.43516
1763411_s_at	2.36336	2.39730
1761437_s_at	2.43729	2.45110
1761286_s_at	3.25370	2.88473
1759664_s_at	2.65821	2.69544
1766682_s_at	3.51723	3.51850
1761676_s_at	2.35187	2.37302
1762696_s_at	2.37169	2.37331
1759965_s_at	2.94300	2.89001
1766944_at	2.35387	2.31732
1765457_x_at	2.37729	2.35692
1763461_s_at	2.54621	2.57581
1762487_s_at	2.41040	2.47559
1764295_s_at	2.78655	2.61758
1765465_at	2.35177	2.35688
1763018_s_at	2.94204	3.01313
1768055_s_at	2.99587	2.47104
1759677_at	2.35583	2.40231
1760087_s_at	2.30062	2.32409
1765997_s_at	2.76964	2.75791
1759439_at	2.45619	2.51072
1762712_s_at	2.33562	2.40059
1766523_s_at	3.39397	3.48051
1768240_at	2.32137	2.33521
1760751_s_at	2.34596	2.34938
1764122_s_at	2.49941	2.40697
1768545_s_at	2.59800	2.56522
1766811_s_at	2.33743	2.33935
1760923_s_at	2.50208	2.46214
1763096_s_at	2.74176	2.74818
1763238_s_at	3.86010	3.28795
1764279_s_at	2.51074	2.57203
1759120_s_at	2.57118	2.38547
1765578_s_at	2.38636	2.43421
1759356_at	2.44026	2.48171
1761417_s_at	2.42754	2.47032
1765729_s_at	2.52318	2.56825
1768121_s_at	2.47184	2.54789
1759484_at	2.39749	2.40281
1767170_s_at	4.60744	4.68410
1765656_s_at	2.37143	2.35284
1762736_s_at	2.34423	2.39622
1763164_s_at	2.93232	2.60885
1761002_s_at	2.44721	2.46590
1761824_at	2.34696	2.33052
1760808_s_at	2.70784	2.75993
1768084_s_at	2.31590	2.35417
1759501_s_at	2.53298	2.60333
1761619_s_at	3.40104	3.46368
1767834_s_at	2.34450	2.33668
1763695_s_at	2.48404	2.39430
1764847_at	2.35325	2.35869
1766366_s_at	2.36422	2.38578
1768627_s_at	2.59563	2.38642
1765349_s_at	2.58404	2.64265
1759835_s_at	3.40906	3.38730
1760533_s_at	2.49523	2.57536
1759329_s_at	2.44828	2.44949
1760458_s_at	2.42796	2.41760
1760388_s_at	3.81822	3.79428
1767308_s_at	2.40473	2.40711
1764328_s_at	2.56207	2.51109
1767915_s_at	2.33325	2.44110
1765529_s_at	3.50727	3.47506
1759869_at	2.34316	2.34569
1761251_s_at	2.39438	2.39323
1762819_s_at	2.65583	2.61654
1763274_at	2.36309	2.36784
1759368_s_at	2.43654	2.52567
1766343_s_at	2.62843	2.66886
1764793_at	2.84030	2.85587
1767938_at	2.40206	2.42683
1761850_s_at	2.97998	3.17093
1763815_s_at	2.45169	2.45970
1768272_s_at	3.52798	3.44320
1761150_s_at	2.38481	2.35789
1767384_s_at	2.40740	2.37295
1761622_at	2.35239	2.35626
1765940_s_at	2.34717	2.41821
1766945_at	2.47984	2.52585
1765743_x_at	2.47078	2.51906
1766986_s_at	2.46644	2.42074
1759074_at	2.33829	2.32095
1759661_at	3.24890	3.10106
1760853_s_at	2.67742	2.53987
1765757_s_at	2.46426	2.49358
1763235_at	2.62170	2.59114
1763932_at	5.59153	5.37899
1760411_s_at	2.55120	2.45974
1769021_s_at	2.36151	2.36682
1761568_at	2.32252	2.34469
1759828_s_at	2.62396	2.45671
1766384_at	2.34460	2.34579
1767069_s_at	2.43209	2.35476
1767194_s_at	2.40643	2.41213
1763921_s_at	2.81634	2.58911
1768376_s_at	2.31792	2.31240
1765452_s_at	2.46471	2.66011
1759722_s_at	2.42059	2.42183
1765137_at	2.39555	2.46230
1766388_at	2.27678	2.29881
1762708_s_at	2.30728	2.30999
1763749_s_at	2.61016	2.39075
1767974_s_at	2.31677	2.32150
1769153_s_at	2.35196	2.39423
1759533_at	2.37498	2.38151
1759180_x_at	2.41046	2.46022
1764631_s_at	5.04491	5.32565
1761262_s_at	2.56241	2.61127
1763273_s_at	7.55692	7.34700
1760328_at	2.56135	2.74726
1765475_s_at	2.46468	2.42969
1761171_s_at	2.84924	2.65953
1763866_at	2.44699	2.43233
1760911_s_at	2.72749	2.66662
1766320_s_at	2.40229	2.45195
1765926_s_at	2.35281	2.35422
1760633_at	2.33401	2.34947
1768652_s_at	2.73754	2.53904
1765827_s_at	4.18409	4.07023
1764889_s_at	2.46134	2.42819
1765696_s_at	2.69301	2.69832
1766592_s_at	2.47051	2.37530
1762928_s_at	2.38498	2.32256
1769079_s_at	2.56636	2.41274
1762051_s_at	2.32926	2.36774
1766184_s_at	2.45062	2.49639
1761969_s_at	2.53963	2.48516
1759273_at	2.36520	2.48404
1769125_s_at	2.35267	2.37602
1765397_s_at	3.30681	2.97561
1764321_s_at	3.19631	3.25460
1759228_s_at	2.38666	2.36555
1764443_s_at	5.45114	5.86465
1767594_s_at	2.30983	2.31388
1761374_s_at	2.35659	2.35982
1759411_at	2.61831	2.57880
1762055_s_at	2.34964	2.44626
1765573_s_at	2.35943	2.36410
1769207_s_at	2.44580	2.45765
1766382_s_at	2.30264	2.30051
1768448_s_at	2.32787	2.33421
1764333_at	2.34729	2.36777
1761745_s_at	2.42954	2.40172
1762786_at	2.38883	2.39113
1766489_s_at	2.59483	2.67525
1759226_s_at	4.85618	5.09653
1762686_s_at	2.35943	2.36985
1768951_s_at	2.64365	2.73211
1765360_at	2.38748	2.49829
1768185_at	2.35609	2.36203
1761578_s_at	2.56177	2.43773
1765967_s_at	2.47463	2.48428
